,Model,Accuracy,Sensitivity (Recall-1),Specificity (Recall-0),F1,PR-AUC,ROC-AUC
1,CatBoostClassifier-PRE,0.7777777777777778,0.8333333333333334,0.75,0.7142857142857143,0.8120115995115995,0.8472222222222222
2,RandomForestClassifier-POST,0.8888888888888888,0.6666666666666666,1.0,0.8,0.8612914862914862,0.8888888888888891
3,XGBoostClassifier-DELTA,0.8333333333333334,0.5,1.0,0.6666666666666666,0.9061507936507937,0.9583333333333333
4,Stacking (no clinical),0.8888888888888888,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9553571428571429,0.9722222222222222
5,Stacking (with clinical),0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,0.9409722222222221,0.9583333333333334
