,Model,Accuracy,Sensitivity (Recall-1),Specificity (Recall-0),F1,PR-AUC,ROC-AUC
1,RandomForestClassifier,0.78125,0.4166666666666667,1.0,0.5882352941176471,0.8452935931457604,0.8458333333333332
2,XGBoostClassifier,0.90625,0.8333333333333334,0.95,0.8695652173913043,0.853808803891041,0.9166666666666666
3,CatBoostClassifier,0.875,0.75,0.95,0.8181818181818182,0.8695344691571473,0.9166666666666667
4,LassoLogistic,0.625,0.25,0.85,0.3333333333333333,0.4974612077737077,0.7000000000000001
