,Model,Accuracy,Sensitivity (Recall-1),Specificity (Recall-0),F1,PR-AUC,ROC-AUC
1,RandomForestClassifier,0.7894736842105263,0.5,0.9230769230769231,0.6,0.8729166666666667,0.9358974358974359
2,XGBoostClassifier,0.8421052631578947,0.6666666666666666,0.9230769230769231,0.7272727272727273,0.8523989898989899,0.9102564102564104
3,CatBoostClassifier,0.8421052631578947,0.5,1.0,0.6666666666666666,0.9204545454545454,0.9358974358974359
4,LassoLogistic,0.7368421052631579,0.16666666666666666,1.0,0.2857142857142857,0.9248015873015873,0.9615384615384616
