iter	Logloss
0	0.5794763565
1	0.4953246117
2	0.4551966455
3	0.4282007747
4	0.4243610965
5	0.4012982315
6	0.3575568464
7	0.3332891994
8	0.3221759531
9	0.3103929096
10	0.3017879592
11	0.2784175873
12	0.2701973385
13	0.2568011814
14	0.239661985
15	0.2243542936
16	0.2092217207
17	0.1898485819
18	0.1745423608
19	0.1606973542
20	0.1513462861
21	0.144417829
22	0.1381519636
23	0.1309781604
24	0.1238764657
25	0.1173497041
26	0.1135301855
27	0.1107590132
28	0.106489314
29	0.09916689661
30	0.0920151141
31	0.08768520753
32	0.08397914304
33	0.07988284694
34	0.07533677419
35	0.07092021571
36	0.0709152023
37	0.06268074115
38	0.06019236644
39	0.05897390842
40	0.0562835137
41	0.05406408177
42	0.05164717635
43	0.05074975888
44	0.04848856396
45	0.04595801565
46	0.04530136453
47	0.04399277767
48	0.04228829675
49	0.0402208964
50	0.03888265954
51	0.03797407283
52	0.03732038869
53	0.035204192
54	0.03485414055
55	0.03419628408
56	0.03383737803
57	0.0334524711
58	0.03223947684
59	0.03117559022
60	0.02972330319
61	0.02958091762
62	0.02856983741
63	0.02734902667
64	0.02674307426
65	0.02597381671
66	0.02476153109
67	0.02386130061
68	0.02312655581
69	0.02239142524
70	0.0211918205
71	0.02038408816
72	0.02024686999
73	0.01939827535
74	0.01846821109
75	0.01783576608
76	0.01775028639
77	0.016930451
78	0.01659356554
79	0.01608927382
80	0.01604855723
81	0.01577698688
82	0.01520188981
83	0.01487038202
84	0.01439802183
85	0.01372856564
86	0.01351221899
87	0.01334429118
88	0.0129904391
89	0.01266519725
90	0.01256760458
91	0.01248706298
92	0.0121261196
93	0.01208721598
94	0.01158035795
95	0.01136720677
96	0.01114737822
97	0.01096285466
98	0.01065007183
99	0.01036928097
100	0.01032970432
101	0.009905249708
102	0.009732003013
103	0.009542111721
104	0.009386643767
105	0.009289065997
106	0.008996249073
107	0.008813372917
108	0.008716328277
109	0.008565202355
110	0.008386891749
111	0.008239145908
112	0.008112877607
113	0.007951733139
114	0.007674927513
115	0.007594946358
116	0.007412075996
117	0.007203385234
118	0.007090915408
119	0.006865094519
120	0.006820839726
121	0.00664592286
122	0.006516797675
123	0.006482297348
124	0.006455214901
125	0.006442713241
126	0.006380074554
127	0.006258616017
128	0.006182993452
129	0.006128752811
130	0.006107460707
131	0.006095680926
132	0.006095811311
133	0.006014292439
134	0.005956103404
135	0.005956103404
136	0.005832294623
137	0.005762380444
138	0.00574419813
139	0.005627262923
140	0.005563759969
141	0.005495956375
142	0.005466664831
143	0.005449485448
144	0.005357524587
145	0.005278617144
146	0.005260659589
147	0.005245493932
148	0.005147429804
149	0.005077462229
150	0.005052078101
151	0.005001113647
152	0.004912886769
153	0.004863364001
154	0.004760324955
155	0.004673858898
156	0.004605447253
157	0.004587973158
158	0.004570509824
159	0.00454977817
160	0.004457204292
161	0.00438003242
162	0.004379967848
163	0.004365616375
164	0.004350692862
165	0.004296429455
166	0.004290277345
167	0.004257694715
168	0.004205053879
169	0.004190669292
170	0.004137887723
171	0.00407904221
172	0.004030974789
173	0.003997696771
174	0.003959911565
175	0.003954476366
176	0.003941578998
177	0.003881781465
178	0.003827818152
179	0.003817721374
180	0.003764881442
181	0.003717043334
182	0.003710421837
183	0.003681444459
184	0.003647669736
185	0.00362439702
186	0.003583750377
187	0.003583731751
188	0.003558670481
189	0.003529950976
190	0.003496540917
191	0.003472252438
192	0.003472274376
193	0.003424762438
194	0.00342444227
195	0.003370974627
196	0.003370974627
197	0.003370978973
198	0.003370631279
199	0.003370593198
200	0.00336907059
201	0.003332210498
202	0.003278378397
203	0.003272499889
204	0.003272483125
205	0.003271889562
206	0.003228984773
207	0.003228942967
208	0.00322811409
209	0.003228120713
210	0.003228046828
211	0.003184547441
212	0.003153508943
213	0.003153379179
214	0.003134761627
215	0.003114301711
216	0.00307905674
217	0.003077915352
218	0.003077861749
219	0.00303478539
220	0.003034781044
221	0.00302918007
222	0.00302927196
223	0.00300516064
224	0.003005177817
225	0.003004281678
226	0.003002447801
227	0.002995998495
228	0.002995949032
229	0.002995919436
230	0.002965562666
231	0.002920715345
232	0.002887710515
233	0.002865294202
234	0.002865397268
235	0.002864653452
236	0.002862861173
237	0.002862801775
238	0.002862636414
239	0.002834040672
240	0.00283414498
241	0.002811254933
242	0.002810901652
243	0.002795015772
244	0.002795034813
245	0.002793409137
246	0.002764935088
247	0.002764617817
248	0.00275008339
249	0.002728654279
250	0.002699788867
251	0.002699341832
252	0.002699025182
253	0.002699025182
254	0.002699064919
255	0.002673483143
256	0.002639404395
257	0.00261803675
258	0.002618105875
259	0.002590591295
260	0.002565030422
261	0.002549404899
262	0.00254941028
263	0.002549324599
264	0.002549167102
265	0.002530839708
266	0.002522617992
267	0.002519971381
268	0.002519935783
269	0.002519874523
270	0.002512359371
271	0.002512087011
272	0.002512087011
