iter	Logloss
0	0.6650008405
1	0.6372675285
2	0.6106813784
3	0.589697682
4	0.5698847471
5	0.5479402276
6	0.527033127
7	0.5095205482
8	0.4882384069
9	0.4663994784
10	0.4574340987
11	0.4405986912
12	0.4252010631
13	0.4131690809
14	0.3974966539
15	0.3870358165
16	0.3756269285
17	0.3647540197
18	0.352328886
19	0.3426465025
20	0.3352372106
21	0.3244809329
22	0.3155818672
23	0.3086555199
24	0.2996629187
25	0.2924366424
26	0.2850895632
27	0.2767249375
28	0.269372892
29	0.2614676079
30	0.2559687106
31	0.2507603613
32	0.2464098167
33	0.2395573773
34	0.2325667733
35	0.2281849769
36	0.2204676737
37	0.2166195608
38	0.2111149779
39	0.2062846234
40	0.2014908572
41	0.1977280091
42	0.1936763345
43	0.1901721872
44	0.1855303535
45	0.1816772277
46	0.175718315
47	0.1729089309
48	0.1700891443
49	0.1683197591
50	0.1647605145
51	0.1618201706
52	0.159770661
53	0.1576399773
54	0.1537151216
55	0.1505475394
56	0.1486223406
57	0.1460769347
58	0.1438758384
59	0.141579107
60	0.1390256981
61	0.1363004124
62	0.133376357
63	0.1308471664
64	0.1286404083
65	0.1267282696
66	0.1247202447
67	0.1227244974
68	0.1202111918
69	0.1182729268
70	0.1167895226
71	0.1151598857
72	0.1131284674
73	0.1106832184
74	0.1079111179
75	0.106929177
76	0.1050515343
77	0.1033810376
78	0.1019314556
79	0.09935621795
80	0.09835727442
81	0.09651929239
82	0.0938385245
83	0.09041590725
84	0.08851460077
85	0.08723588288
86	0.08626319166
87	0.08416389448
88	0.08263805924
89	0.08103497249
90	0.07910258868
91	0.07800685056
92	0.07576767101
93	0.07348244509
94	0.07206861289
95	0.07008396299
96	0.06883169831
97	0.06730058555
98	0.06551970412
99	0.06336248134
100	0.06263634884
101	0.06157180979
102	0.06002200097
103	0.05838226327
104	0.05738103525
105	0.05543703599
106	0.05422608736
107	0.05359108524
108	0.05287171626
109	0.05193008453
110	0.05097791457
111	0.04936086373
112	0.04818476923
113	0.04676695683
114	0.04562588923
115	0.04463562332
116	0.04377803426
117	0.04215335288
118	0.04098117953
119	0.03997140746
120	0.0391935
121	0.03844374701
122	0.03761851186
123	0.03708714147
124	0.03636252128
125	0.03564052732
126	0.03472296263
127	0.03414542117
